# converted from https://das.sdss.org/www/html/imaging/dr-byRun-99.html
#
# images are linked from
#    https://das.sdss.org/www/cgi-bin/wholeseg?RUN={run}&RERUN={rerun}&CAMCOL={cam}&DR=99
#
# direct images are:
#    http://das.sdss.org/raw/{run}/{rerun}/corr/{cam}/fpC-{run:5i}-{band}{cam}-{field:4i}.fit.gz
#
stripe,strip,run,rerun,MJD,node,inclination,cam1,cam2,cam3,cam4,cam5,cam6
100,O,3367,20,52553,342.87,62,1,2,3,4,5,6
82,N,3384,40,52557,95,0,1,2,3,4,5,6
82,S,3388,40,52558,95,0,1,2,3,4,5,6
82,S,3427,40,52576,95,0,1,2,3,4,5,6
82,S,3430,40,52576,95,0,1,2,3,4,5,6
82,S,3434,40,52577,95,0,1,2,3,4,5,6
82,N,3437,40,52578,95,0,1,2,3,4,5,6
82,S,3438,40,52578,95,0,1,2,3,4,5,6
82,S,3460,40,52585,95,0,1,2,3,4,5,6
82,N,3461,40,52585,95,0,1,2,3,4,5,6
29,S,3462,20,52585,95,47.5,1,2,3,4,5,6
29,S,3462,40,52585,95,47.5,1,2,3,4,5,6
82,S,3465,40,52586,95,0,1,2,3,4,5,6
14,N,3478,20,52591,95,10,1,2,3,4,5,6
14,N,3478,40,52591,95,10,1,2,3,4,5,6
100,O,3511,40,52614,245.1945,-90.1417,1,2,3,4,5,6
100,O,3512,40,52614,335.4146,25.3152,1,2,3,4,5,6
29,N,3513,20,52614,95,47.5,1,2,3,4,5,6
29,N,3513,40,52614,95,47.5,1,2,3,4,5,6
14,N,3518,20,52615,95,10,1,2,3,4,5,6
14,N,3518,40,52615,95,10,1,2,3,4,5,6
14,N,3525,20,52619,95,10,1,2,3,4,5,6
14,N,3525,40,52619,95,10,1,2,3,4,5,6
29,N,3530,20,52621,95,47.5,1,2,3,4,5,6
29,N,3530,40,52621,95,47.5,1,2,3,4,5,6
29,N,3530,42,52621,95,47.5,1,2,3,4,5,6
15,S,3538,20,52622,95,12.5,1,2,3,4,5,6
15,S,3538,40,52622,95,12.5,1,2,3,4,5,6
100,O,3557,40,52639,65.4966,89.9612,1,2,3,4,5,6
100,O,3559,40,52639,335.4111,25.3054,1,2,3,4,5,6
28,S,3560,20,52639,95,45,1,2,3,4,5,6
28,S,3560,40,52639,95,45,1,2,3,4,5,6
28,S,3562,20,52639,95,45,1,2,3,4,5,6
28,S,3562,40,52639,95,45,1,2,3,4,5,6
28,S,3562,41,52639,95,45,1,2,3,4,5,6
37,N,3600,20,52662,95,67.5,1,2,3,4,5,6
28,N,3605,20,52664,95,45,1,2,3,4,5,6
28,N,3605,40,52664,95,45,1,2,3,4,5,6
28,N,3606,20,52664,95,45,1,2,3,4,5,6
28,N,3606,40,52664,95,45,1,2,3,4,5,6
61,N,3610,40,52666,95,-52.5,1,2,3,4,5,6
28,N,3615,40,52666,95,45,1,2,3,4,5,6
61,S,3628,40,52667,95,-52.5,1,2,3,4,5,6
61,N,3629,40,52667,95,-52.5,1,2,3,4,5,6
15,N,3630,20,52667,95,12.5,1,2,3,4,5,6
15,N,3630,40,52667,95,12.5,1,2,3,4,5,6
16,S,3631,40,52667,95,15,1,2,3,4,5,6
62,N,3634,40,52668,95,-50,1,2,3,4,5,6
27,S,3635,40,52668,95,42.5,1,2,3,4,5,6
27,S,3635,41,52668,95,42.5,1,2,3,4,5,6
62,S,3643,20,52671,95,-50,1,2,3,4,5,6
62,S,3643,40,52671,95,-50,1,2,3,4,5,6
27,N,3644,40,52671,95,42.5,1,2,3,4,5,6
27,N,3644,41,52671,95,42.5,1,2,3,4,5,6
27,N,3647,40,52671,95,42.5,1,2,3,4,5,6
27,N,3647,41,52671,95,42.5,1,2,3,4,5,6
30,S,3650,20,52671,95,50,1,2,3,4,5,6
30,S,3650,40,52671,95,50,1,2,3,4,5,6
30,S,3664,20,52681,95,50,1,2,3,4,5,6
30,S,3664,40,52681,95,50,1,2,3,4,5,6
29,S,3698,40,52704,95,47.5,1,2,3,4,5,6
29,S,3698,41,52704,95,47.5,1,2,3,4,5,6
29,S,3699,40,52704,95,47.5,1,2,3,4,5,6
29,S,3699,41,52704,95,47.5,1,2,3,4,5,6
27,S,3704,40,52705,95,42.5,1,2,3,4,5,6
33,N,3705,20,52705,95,57.5,1,2,3,4,5,6
33,N,3705,40,52705,95,57.5,1,2,3,4,5,6
33,S,3712,20,52708,95,57.5,1,2,3,4,5,6
33,S,3712,40,52708,95,57.5,1,2,3,4,5,6
29,N,3716,41,52709,95,47.5,1,2,3,4,5,6
29,N,3716,42,52709,95,47.5,1,2,3,4,5,6
29,N,3723,40,52710,95,47.5,1,2,3,4,5,6
15,S,3804,41,52721,95,12.5,1,2,3,4,5,6
15,S,3805,41,52721,95,12.5,1,2,3,4,5,6
28,N,3813,40,52722,95,45,1,2,3,4,5,6
28,N,3813,41,52722,95,45,1,2,3,4,5,6
28,S,3818,40,52724,95,45,1,2,3,4,5,6
28,S,3818,41,52724,95,45,1,2,3,4,5,6
16,N,3830,41,52728,95,15,1,2,3,4,5,6
15,N,3836,41,52729,95,12.5,1,2,3,4,5,6
31,S,3838,41,52729,95,52.5,1,2,3,4,5,6
27,S,3840,40,52730,95,42.5,1,2,3,4,5,6
27,S,3840,41,52730,95,42.5,1,2,3,4,5,6
13,S,3841,41,52730,95,7.5,1,2,3,4,5,6
13,N,3842,41,52730,95,7.5,1,2,3,4,5,6
27,N,3893,40,52754,95,42.5,1,2,3,4,5,6
27,N,3893,41,52754,95,42.5,1,2,3,4,5,6
15,S,3894,40,52754,95,12.5,1,2,3,4,5,6
26,S,3900,41,52755,95,40,1,2,3,4,5,6
14,N,3903,41,52756,95,10,1,2,3,4,5,6
13,N,3905,40,52756,95,7.5,1,2,3,4,5,6
