\                                                                               
\fixlen = T
\RowsRetrieved =               426
\ 
\ koaid 
\ ___ Unique identifier for each file
\ ofname 
\ ___ Original filename at the telescope, copied from DATAFILE keyword
\ targname 
\ ___ target-name
\ koaimtyp 
\ ___ KOA image type
\ frameno 
\ ___ frame-number
\ ra (deg) 
\ ___ Right Ascension (J2000)
\ dec (deg) 
\ ___ Declination (J20000)
\ date_obs 
\ ___ universal date of observation
\ ut 
\ ___ coordinated universal time
\ elaptime 
\ ___ elapsed-time
\ equinox 
\ ___ telescope-equinox
\ progid 
\ ___ WMKO program ID
\ proginst 
\ ___ Program institution
\ progpi 
\ ___ Program principal investigator
\ progtitl 
\ ___ Title of observing program
\ filehand 
\ ___ Path to the file in the archive
\ semid 
\ ___ SEMESTER and PROGID
\ propint 
\ ___ Proprietary Period Interval
\ 
|                             koaid|                           ofname| instrument|                                                              targname|                                                              koaimtyp|          frameno|                 ra|                dec|                       date_obs|                         ut|           elaptime|            equinox|                                                                progid|  proginst|                                                                progpi|                                                                                                                                                                                                           progtitl|                                                                                                                                                filehand|                 semid|          propint| prop|
|                              char|                             char|       char|                                                                  char|                                                                  char|             long|             double|             double|                           char|                       char|             double|             double|                                                                  char|      char|                                                                  char|                                                                                                                                                                                                               char|                                                                                                                                                    char|                  char|             long| char|
|                                  |                                 |           |                                                                      |                                                                      |                 |                deg|                deg|                               |                           |                   |                   |                                                                      |          |                                                                      |                                                                                                                                                                                                                   |                                                                                                                                                        |                      |                 |     |
|                              null|                             null|       null|                                                                  null|                                                                  null|             null|               null|               null|                           null|                       null|               null|               null|                                                                  null|      null|                                                                  null|                                                                                                                                                                                                               null|                                                                                                                                                    null|                  null|             null| null|
             N1.20090531.46473.fits                       s00395.fits        NIRC                                                          GRB050716_ctr                                                                 object               395           338.58652            38.68714                      2009-05-31                 12:54:33.70            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.46473.fits            2009a_u105n                18     f 
             N1.20090531.46548.fits                       s00396.fits        NIRC                                                          GRB050716_ctr                                                                 object               396           338.58851            38.68873                      2009-05-31                 12:55:48.65            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.46548.fits            2009a_u105n                18     f 
             N1.20090531.46624.fits                       s00397.fits        NIRC                                                          GRB050716_ctr                                                                 object               397           338.58853            38.68715                      2009-05-31                 12:57:04.70            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.46624.fits            2009a_u105n                18     f 
             N1.20090531.46700.fits                       s00398.fits        NIRC                                                          GRB050716_ctr                                                                 object               398           338.58649            38.68871                      2009-05-31                 12:58:20.25            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.46700.fits            2009a_u105n                18     f 
             N1.20090531.46964.fits                       s00399.fits        NIRC                                                          GRB071021_ctr                                                                 object               399           340.64462            23.72096                      2009-05-31                 13:02:44.91            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.46964.fits            2009a_u105n                18     f 
             N1.20090531.47039.fits                       s00400.fits        NIRC                                                          GRB071021_ctr                                                                 object               400           340.64704            23.72318                      2009-05-31                 13:03:59.91            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.47039.fits            2009a_u105n                18     f 
             N1.20090531.47209.fits                       s00401.fits        NIRC                                                          GRB071021_ctr                                                                 object               401           340.64462            23.72096                      2009-05-31                 13:06:49.61            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.47209.fits            2009a_u105n                18     f 
             N1.20090531.47285.fits                       s00402.fits        NIRC                                                          GRB071021_ctr                                                                 object               402           340.64552            23.71918                      2009-05-31                 13:08:05.71            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.47285.fits            2009a_u105n                18     f 
             N1.20090531.47360.fits                       s00403.fits        NIRC                                                          GRB071021_ctr                                                                 object               403           340.64267            23.72013                      2009-05-31                 13:09:20.46            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.47360.fits            2009a_u105n                18     f 
             N1.20090531.47435.fits                       s00404.fits        NIRC                                                          GRB071021_ctr                                                                 object               404           340.64656            23.72179                      2009-05-31                 13:10:35.46            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.47435.fits            2009a_u105n                18     f 
             N1.20090531.47509.fits                       s00405.fits        NIRC                                                          GRB071021_ctr                                                                 object               405           340.64371            23.72274                      2009-05-31                 13:11:49.86            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.47509.fits            2009a_u105n                18     f 
             N1.20090531.47584.fits                       s00406.fits        NIRC                                                          GRB071021_ctr                                                                 object               406           340.64410            23.71965                      2009-05-31                 13:13:04.26            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.47584.fits            2009a_u105n                18     f 
             N1.20090531.47659.fits                       s00407.fits        NIRC                                                          GRB071021_ctr                                                                 object               407           340.64514            23.72226                      2009-05-31                 13:14:19.26            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.47659.fits            2009a_u105n                18     f 
             N1.20090531.47736.fits                       s00408.fits        NIRC                                                          GRB071021_ctr                                                                 object               408           340.64604            23.72048                      2009-05-31                 13:15:36.11            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.47736.fits            2009a_u105n                18     f 
             N1.20090531.47812.fits                       s00409.fits        NIRC                                                          GRB071021_ctr                                                                 object               409           340.64319            23.72144                      2009-05-31                 13:16:52.41            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.47812.fits            2009a_u105n                18     f 
             N1.20090531.47916.fits                       s00410.fits        NIRC                                                          GRB071021_ctr                                                                 object               410           340.64419            23.72110                      2009-05-31                 13:18:36.71            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.47916.fits            2009a_u105n                18     f 
             N1.20090531.47992.fits                       s00411.fits        NIRC                                                          GRB071021_ctr                                                                 object               411           340.64509            23.71932                      2009-05-31                 13:19:52.16            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.47992.fits            2009a_u105n                18     f 
             N1.20090531.48066.fits                       s00412.fits        NIRC                                                          GRB071021_ctr                                                                 object               412           340.64224            23.72027                      2009-05-31                 13:21:06.96            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.48066.fits            2009a_u105n                18     f 
             N1.20090531.48142.fits                       s00413.fits        NIRC                                                          GRB071021_ctr                                                                 object               413           340.64614            23.72193                      2009-05-31                 13:22:22.11            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.48142.fits            2009a_u105n                18     f 
             N1.20090531.48217.fits                       s00414.fits        NIRC                                                          GRB071021_ctr                                                                 object               414           340.64329            23.72288                      2009-05-31                 13:23:37.71            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.48217.fits            2009a_u105n                18     f 
             N1.20090531.48292.fits                       s00415.fits        NIRC                                                          GRB071021_ctr                                                                 object               415           340.64367            23.71980                      2009-05-31                 13:24:52.26            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.48292.fits            2009a_u105n                18     f 
             N1.20090531.48368.fits                       s00416.fits        NIRC                                                          GRB071021_ctr                                                                 object               416           340.64471            23.72241                      2009-05-31                 13:26:08.16            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.48368.fits            2009a_u105n                18     f 
             N1.20090531.48442.fits                       s00417.fits        NIRC                                                          GRB071021_ctr                                                                 object               417           340.64561            23.72062                      2009-05-31                 13:27:22.91            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.48442.fits            2009a_u105n                18     f 
             N1.20090531.48518.fits                       s00418.fits        NIRC                                                          GRB071021_ctr                                                                 object               418           340.64276            23.72158                      2009-05-31                 13:28:38.66            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.48518.fits            2009a_u105n                18     f 
             N1.20090531.48621.fits                       s00419.fits        NIRC                                                          GRB071021_ctr                                                                 object               419           340.64392            23.72164                      2009-05-31                 13:30:21.31            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.48621.fits            2009a_u105n                18     f 
             N1.20090531.48695.fits                       s00420.fits        NIRC                                                          GRB071021_ctr                                                                 object               420           340.64482            23.71985                      2009-05-31                 13:31:35.86            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.48695.fits            2009a_u105n                18     f 
             N1.20090531.48770.fits                       s00421.fits        NIRC                                                          GRB071021_ctr                                                                 object               421           340.64586            23.72246                      2009-05-31                 13:32:50.91            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.48770.fits            2009a_u105n                18     f 
             N1.20090531.48845.fits                       s00422.fits        NIRC                                                          GRB071021_ctr                                                                 object               422           340.64302            23.72342                      2009-05-31                 13:34:05.72            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.48845.fits            2009a_u105n                18     f 
             N1.20090531.48923.fits                       s00423.fits        NIRC                                                          GRB071021_ctr                                                                 object               423           340.64197            23.72081                      2009-05-31                 13:35:23.47            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.48923.fits            2009a_u105n                18     f 
             N1.20090531.49261.fits                       s00424.fits        NIRC                                                         GRB061222A_ctr                                                                 object               424           358.26374            46.53461                      2009-05-31                 13:41:01.12           100.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.49261.fits            2009a_u105n                18     f 
             N1.20090531.49386.fits                       s00425.fits        NIRC                                                         GRB061222A_ctr                                                                 object               425           358.26697            46.53683                      2009-05-31                 13:43:06.12           100.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.49386.fits            2009a_u105n                18     f 
             N1.20090531.49601.fits                       s00426.fits        NIRC                                                         GRB061222A_ctr                                                                 object               426           358.26374            46.53461                      2009-05-31                 13:46:41.62           100.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.49601.fits            2009a_u105n                18     f 
             N1.20090531.49716.fits                       s00427.fits        NIRC                                                         GRB061222A_ctr                                                                 object               427           358.26481            46.53643                      2009-05-31                 13:48:36.52           100.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.49716.fits            2009a_u105n                18     f 
             N1.20090531.49831.fits                       s00428.fits        NIRC                                                         GRB061222A_ctr                                                                 object               428           358.26639            46.53388                      2009-05-31                 13:50:31.62           100.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.49831.fits            2009a_u105n                18     f 
             N1.20090531.49950.fits                       s00429.fits        NIRC                                                         GRB061222A_ctr                                                                 object               429           358.26109            46.53534                      2009-05-31                 13:52:30.22           100.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.49950.fits            2009a_u105n                18     f 
             N1.20090531.50065.fits                       s00430.fits        NIRC                                                         GRB061222A_ctr                                                                 object               430           358.26267            46.53279                      2009-05-31                 13:54:25.62           100.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.50065.fits            2009a_u105n                18     f 
             N1.20090531.50181.fits                       s00431.fits        NIRC                                                         GRB061222A_ctr                                                                 object               431           358.26560            46.53515                      2009-05-31                 13:56:21.07           100.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.50181.fits            2009a_u105n                18     f 
             N1.20090531.50296.fits                       s00432.fits        NIRC                                                         GRB061222A_ctr                                                                 object               432           358.26188            46.53407                      2009-05-31                 13:58:16.62           100.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.50296.fits            2009a_u105n                18     f 
             N1.20090531.50416.fits                       s00433.fits        NIRC                                                         GRB061222A_ctr                                                                 object               433           358.26295            46.53589                      2009-05-31                 14:00:16.67           100.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.50416.fits            2009a_u105n                18     f 
             N1.20090531.50533.fits                       s00434.fits        NIRC                                                         GRB061222A_ctr                                                                 object               434           358.26453            46.53333                      2009-05-31                 14:02:13.17           100.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.50533.fits            2009a_u105n                18     f 
             N1.20090531.50668.fits                       s00435.fits        NIRC                                                         GRB061222A_ctr                                                                 object               435           358.26480            46.53432                      2009-05-31                 14:04:28.62           100.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.50668.fits            2009a_u105n                18     f 
             N1.20090531.50783.fits                       s00436.fits        NIRC                                                         GRB061222A_ctr                                                                 object               436           358.26587            46.53614                      2009-05-31                 14:06:23.28           100.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.50783.fits            2009a_u105n                18     f 
             N1.20090531.50898.fits                       s00437.fits        NIRC                                                         GRB061222A_ctr                                                                 object               437           358.26745            46.53358                      2009-05-31                 14:08:18.28           100.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.50898.fits            2009a_u105n                18     f 
             N1.20090531.51016.fits                       s00438.fits        NIRC                                                         GRB061222A_ctr                                                                 object               438           358.26215            46.53505                      2009-05-31                 14:10:16.13           100.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.51016.fits            2009a_u105n                18     f 
             N1.20090531.51132.fits                       s00439.fits        NIRC                                                         GRB061222A_ctr                                                                 object               439           358.26373            46.53249                      2009-05-31                 14:12:12.03           100.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.51132.fits            2009a_u105n                18     f 
             N1.20090531.51246.fits                       s00440.fits        NIRC                                                         GRB061222A_ctr                                                                 object               440           358.26666            46.53486                      2009-05-31                 14:14:06.73           100.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.51246.fits            2009a_u105n                18     f 
             N1.20090531.51360.fits                       s00441.fits        NIRC                                                         GRB061222A_ctr                                                                 object               441           358.26294            46.53377                      2009-05-31                 14:16:00.98           100.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.51360.fits            2009a_u105n                18     f 
             N1.20090531.51476.fits                       s00442.fits        NIRC                                                         GRB061222A_ctr                                                                 object               442           358.26401            46.53559                      2009-05-31                 14:17:56.03           100.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.51476.fits            2009a_u105n                18     f 
