\                                                                               
\fixlen = T
\RowsRetrieved =               426
\ 
\ koaid 
\ ___ Unique identifier for each file
\ ofname 
\ ___ Original filename at the telescope, copied from DATAFILE keyword
\ targname 
\ ___ target-name
\ koaimtyp 
\ ___ KOA image type
\ frameno 
\ ___ frame-number
\ ra (deg) 
\ ___ Right Ascension (J2000)
\ dec (deg) 
\ ___ Declination (J20000)
\ date_obs 
\ ___ universal date of observation
\ ut 
\ ___ coordinated universal time
\ elaptime 
\ ___ elapsed-time
\ equinox 
\ ___ telescope-equinox
\ progid 
\ ___ WMKO program ID
\ proginst 
\ ___ Program institution
\ progpi 
\ ___ Program principal investigator
\ progtitl 
\ ___ Title of observing program
\ filehand 
\ ___ Path to the file in the archive
\ semid 
\ ___ SEMESTER and PROGID
\ propint 
\ ___ Proprietary Period Interval
\ 
|                             koaid|                           ofname| instrument|                                                              targname|                                                              koaimtyp|          frameno|                 ra|                dec|                       date_obs|                         ut|           elaptime|            equinox|                                                                progid|  proginst|                                                                progpi|                                                                                                                                                                                                           progtitl|                                                                                                                                                filehand|                 semid|          propint| prop|
|                              char|                             char|       char|                                                                  char|                                                                  char|             long|             double|             double|                           char|                       char|             double|             double|                                                                  char|      char|                                                                  char|                                                                                                                                                                                                               char|                                                                                                                                                    char|                  char|             long| char|
|                                  |                                 |           |                                                                      |                                                                      |                 |                deg|                deg|                               |                           |                   |                   |                                                                      |          |                                                                      |                                                                                                                                                                                                                   |                                                                                                                                                        |                      |                 |     |
|                              null|                             null|       null|                                                                  null|                                                                  null|             null|               null|               null|                           null|                       null|               null|               null|                                                                  null|      null|                                                                  null|                                                                                                                                                                                                               null|                                                                                                                                                    null|                  null|             null| null|
             N1.20090531.22131.fits                       s00095.fits        NIRC                                                              GRB060319                                                                 object                95           176.38557            60.01453                      2009-05-31                 06:08:51.23            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.22131.fits            2009a_u105n                18     f 
             N1.20090531.22208.fits                       s00096.fits        NIRC                                                              GRB060319                                                                 object                96           176.38068            60.01321                      2009-05-31                 06:10:08.38            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.22208.fits            2009a_u105n                18     f 
             N1.20090531.22283.fits                       s00097.fits        NIRC                                                              GRB060319                                                                 object                97           176.38577            60.01143                      2009-05-31                 06:11:23.98            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.22283.fits            2009a_u105n                18     f 
             N1.20090531.22359.fits                       s00098.fits        NIRC                                                              GRB060319                                                                 object                98           176.38313            60.01387                      2009-05-31                 06:12:39.78            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.22359.fits            2009a_u105n                18     f 
             N1.20090531.22435.fits                       s00099.fits        NIRC                                                              GRB060319                                                                 object                99           176.38690            60.01331                      2009-05-31                 06:13:55.43            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.22435.fits            2009a_u105n                18     f 
             N1.20090531.22514.fits                       s00100.fits        NIRC                                                              GRB060319                                                                 object               100           176.38201            60.01199                      2009-05-31                 06:15:14.93            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.22514.fits            2009a_u105n                18     f 
             N1.20090531.22624.fits                       s00101.fits        NIRC                                                              GRB060319                                                                 object               101           176.38396            60.01293                      2009-05-31                 06:17:04.98            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.22624.fits            2009a_u105n                18     f 
             N1.20090531.22700.fits                       s00102.fits        NIRC                                                              GRB060319                                                                 object               102           176.38735            60.01242                      2009-05-31                 06:18:20.13            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.22700.fits            2009a_u105n                18     f 
             N1.20090531.22775.fits                       s00103.fits        NIRC                                                              GRB060319                                                                 object               103           176.38497            60.01462                      2009-05-31                 06:19:35.13            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.22775.fits            2009a_u105n                18     f 
             N1.20090531.22848.fits                       s00104.fits        NIRC                                                              GRB060319                                                                 object               104           176.38057            60.01343                      2009-05-31                 06:20:48.68            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.22848.fits            2009a_u105n                18     f 
             N1.20090531.22924.fits                       s00105.fits        NIRC                                                              GRB060319                                                                 object               105           176.38295            60.01123                      2009-05-31                 06:22:04.08            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.22924.fits            2009a_u105n                18     f 
